EMPIRE_BM_TECH_1,帝国テクノロジーレベル 1 で入手可能な闇市場アイテムです。
TEXT_SFX_SPM_ASSIST_2,長距離サポート準備完了
TEXT_SFX_SPM_ASSIST_3,おまえが着く前に終わらせるぜ
TEXT_SFX_SPM_ATTACK_02_1,配置変更中
TEXT_SFX_SPM_ATTACK_02_2,自動照準
TEXT_SFX_SPM_ATTACK_02_3,兵器装填
TEXT_SFX_SPM_ATTACK_02_4,ターゲットをロック
TEXT_SFX_SPM_ATTACK_02_5,攻撃開始
TEXT_SFX_SPM_ATTACK_02_6,敵が射程圏内だ
TEXT_SFX_SPM_ATTACK_1,攻撃を開始
TEXT_SFX_SPM_ATTACK_10,ターゲットを攻撃せよ
TEXT_SFX_SPM_ATTACK_11,ターゲットを攻撃
TEXT_SFX_SPM_ATTACK_12,各自砲撃せよ
TEXT_SFX_SPM_ATTACK_13,攻撃中
TEXT_SFX_SPM_ATTACK_14,ターゲット設定中
TEXT_SFX_SPM_ATTACK_15,砲撃
TEXT_SFX_SPM_ATTACK_2,近距離攻撃を開始
TEXT_SFX_SPM_ATTACK_3,各自砲撃する
TEXT_SFX_SPM_ATTACK_4,敵を狙う
TEXT_SFX_SPM_ATTACK_5,兵器準備完了
TEXT_SFX_SPM_ATTACK_6,兵器稼動
TEXT_SFX_SPM_ATTACK_7,攻撃せよ!
TEXT_SFX_SPM_ATTACK_8,撃て!
TEXT_SFX_SPM_ATTACK_9,砲撃開始!
TEXT_SFX_SPM_DEPLOY_1,守りを固める
TEXT_SFX_SPM_DEPLOY_2,ここの守りを固めろ
TEXT_SFX_SPM_GUARD_1,攻撃を援護する
TEXT_SFX_SPM_GUARD_2,エリアを防御中だ
TEXT_SFX_SPM_MOVE_1,向かっています
TEXT_SFX_SPM_MOVE_10,分散せよ
TEXT_SFX_SPM_MOVE_11,進行するぞ
TEXT_SFX_SPM_MOVE_12,さぁ行こう
TEXT_SFX_SPM_MOVE_13,そのまま進め
TEXT_SFX_SPM_MOVE_14,こっちだ
TEXT_SFX_SPM_MOVE_15,そこだ
TEXT_SFX_SPM_MOVE_2,命令を了解
TEXT_SFX_SPM_MOVE_3,配置に移動
TEXT_SFX_SPM_MOVE_4,座標へ移動
TEXT_SFX_SPM_MOVE_5,目的地へ移動
TEXT_SFX_SPM_MOVE_6,向かっています
TEXT_SFX_SPM_MOVE_7,すぐに
TEXT_SFX_SPM_MOVE_8,進行
TEXT_SFX_SPM_MOVE_9,向かっている
TEXT_SFX_SPM_SANDSTORM_1,この砂嵐の中では、 射程距離がかなり限られてしまいます
TEXT_SFX_SPM_SELECT_1,スタンバイ!
TEXT_SFX_SPM_SELECT_10,了解
TEXT_SFX_SPM_SELECT_11,任務準備完了
TEXT_SFX_SPM_SELECT_12,指令をどうぞ
TEXT_SFX_SPM_SELECT_13,かしこまりました
TEXT_SFX_SPM_SELECT_14,はい、 司令官
TEXT_SFX_SPM_SELECT_15,命令受信の準備完了
TEXT_SFX_SPM_SELECT_2,報告します
TEXT_SFX_SPM_SELECT_3,準備完了
TEXT_SFX_SPM_SELECT_4,砲はオンライン
TEXT_SFX_SPM_SELECT_5,了解
TEXT_SFX_SPM_SELECT_6,はい
TEXT_SFX_SPM_SELECT_7,了解
TEXT_SFX_SPM_SELECT_8,隊形を整えよ
TEXT_SFX_SPM_SELECT_9,命令を待ちます
TEXT_SFX_SPM_SWAMP_1,泥でスピードが落ちている
TEXT_SFX_SPM_UNDEPLOY_1,移動
TEXT_SFX_SPM_UNDEPLOY_2,行こう
TEXT_SFX_SPM_WIND_1,風で精度が落ちている!
TEXT_SFX_SPT_ASSIST_1,可能な場所を援護する
TEXT_SFX_SPT_ASSIST_2,援護命令了解
TEXT_SFX_SPT_ASSIST_3,主要隊にターゲットを発見
TEXT_SFX_SPT_ATTACK_02_1,ターゲット確認
TEXT_SFX_SPT_ATTACK_02_2,ターゲットをロックした
TEXT_SFX_SPT_ATTACK_02_3,ターゲットのデータを転送
TEXT_SFX_SPT_ATTACK_02_4,ターゲットをロックしろ
TEXT_SFX_SPT_ATTACK_02_5,ターゲットをロック
TEXT_SFX_SPT_ATTACK_02_6,俺のターゲットを撃て
TEXT_SFX_SPT_ATTACK_1,攻撃を最小限に抑制
TEXT_SFX_SPT_ATTACK_10,ターゲットを攻撃せよ
TEXT_SFX_SPT_ATTACK_11,ターゲットを攻撃
TEXT_SFX_SPT_ATTACK_12,各自砲撃せよ
TEXT_SFX_SPT_ATTACK_13,攻撃中
TEXT_SFX_SPT_ATTACK_14,ターゲット設定中
TEXT_SFX_SPT_ATTACK_15,砲撃
TEXT_SFX_SPT_ATTACK_2,攻撃開始
TEXT_SFX_SPT_ATTACK_3,砲撃
TEXT_SFX_SPT_ATTACK_4,敵と交戦中
TEXT_SFX_SPT_ATTACK_5,ターゲットを視界に確認
TEXT_SFX_SPT_ATTACK_6,敵を視界に確認
TEXT_SFX_SPT_ATTACK_7,攻撃せよ!
TEXT_SFX_SPT_ATTACK_8,撃て!
TEXT_SFX_SPT_ATTACK_9,砲撃開始!
TEXT_SFX_SPT_DEPLOY_1,ターゲット・モードを起動中
TEXT_SFX_SPT_DEPLOY_2,ターゲット・モードを起動
TEXT_SFX_SPT_GUARD_1,了解。 用意、 撃て
TEXT_SFX_SPT_GUARD_2,護衛中
TEXT_SFX_SPT_MOVE_1,移動中
TEXT_SFX_SPT_MOVE_10,部隊を分散せよ
TEXT_SFX_SPT_MOVE_11,進行するぞ
TEXT_SFX_SPT_MOVE_12,さぁ行こう
TEXT_SFX_SPT_MOVE_13,そのまま進め
TEXT_SFX_SPT_MOVE_14,こっちだ
TEXT_SFX_SPT_MOVE_15,そこだ
TEXT_SFX_SPT_MOVE_2,目的地を設定
TEXT_SFX_SPT_MOVE_3,進路計算中
TEXT_SFX_SPT_MOVE_4,座標へ移動
TEXT_SFX_SPT_MOVE_5,向かっています
TEXT_SFX_SPT_MOVE_6,向かっている
TEXT_SFX_SPT_MOVE_7,すぐに
TEXT_SFX_SPT_MOVE_8,進行
TEXT_SFX_SPT_MOVE_9,了解
TEXT_SFX_SPT_SELECT_1,命令が必要だ
TEXT_SFX_SPT_SELECT_10,了解
TEXT_SFX_SPT_SELECT_11,了解
TEXT_SFX_SPT_SELECT_12,報告します
TEXT_SFX_SPT_SELECT_13,はい
TEXT_SFX_SPT_SELECT_14,はい、 司令官
TEXT_SFX_SPT_SELECT_15,ご命令は?
TEXT_SFX_SPT_SELECT_2,報告します
TEXT_SFX_SPT_SELECT_3,現在待機中
TEXT_SFX_SPT_SELECT_4,命令を待ちます
TEXT_SFX_SPT_SELECT_5,スタンバイ
TEXT_SFX_SPT_SELECT_6,準備完了
TEXT_SFX_SPT_SELECT_7,了解
TEXT_SFX_SPT_SELECT_8,隊形を整えよ
TEXT_SFX_SPT_SELECT_9,命令を待ちます
TEXT_SFX_SPT_UNDEPLOY_1,完全可動状態に移行
TEXT_SFX_SPT_UNDEPLOY_2,可動状態に移行
TEXT_SFX_SSE_ATTACK_1,主要ターゲットを確保
TEXT_SFX_SSE_ATTACK_2,照準設定
TEXT_SFX_SSE_ATTACK_3,砲撃開始!
TEXT_SFX_SSE_ATTACK_4,ターゲットをロック
TEXT_SFX_SSE_ATTACK_5,ターゲットをロック
TEXT_SFX_SSE_ATTACK_6,撃て!
TEXT_SFX_SSE_BARRAGE_1,集中砲火開始
TEXT_SFX_SSE_BARRAGE_2,ターゲット設定中
TEXT_SFX_SSE_DEFEND_1,フルディフェンス・モード稼動
TEXT_SFX_SSE_DEFEND_2,すべてのパワーをシールドに切り換えろ!
TEXT_SFX_SSE_LOST_BAY_1,発射ベイが破壊された
TEXT_SFX_SSE_LOST_BAY_2,メイン発射ベイがやられた
TEXT_SFX_SSE_LOST_ION_1,イオン・キャノンのシステムがオフラインだ
TEXT_SFX_SSE_LOST_ION_2,イオン・キャノンシステムが破壊された
TEXT_SFX_SSE_LOST_LASER_1,レーザーバンクがやられた
TEXT_SFX_SSE_LOST_LASER_2,主要レーザーシステムがオフラインだ
TEXT_SFX_SSE_LOST_MISSILE_1,ミサイル発射装置が破壊された
TEXT_SFX_SSE_LOST_MISSILE_2,ミサイル発射装置がやられた
TEXT_SFX_SSE_LOST_SHIELDS_1,シールドが停止
TEXT_SFX_SSE_LOST_SHIELDS_2,シールド・ジェネレーターが破壊された
TEXT_SFX_SSE_LOST_TORPEDO_1,魚雷発射管がオフラインだ
TEXT_SFX_SSE_LOST_TORPEDO_2,魚雷発射管がやられた
TEXT_SFX_SSE_SELECT_1,戦闘準備完了
TEXT_SFX_SSE_SELECT_2,ステーション、 準備完了
TEXT_SFX_SSE_SELECT_3,軌道コマンド可能です
TEXT_SFX_SSE_SELECT_4,了解
TEXT_SFX_SSE_SELECT_5,伝言を受信中
TEXT_SFX_SSE_SELECT_6,通信解析中
TEXT_SFX_SSR_ATTACK_1,主要ターゲットを確保
TEXT_SFX_SSR_ATTACK_2,照準設定
TEXT_SFX_SSR_ATTACK_3,砲撃開始!
TEXT_SFX_SSR_ATTACK_4,ターゲットをロック
TEXT_SFX_SSR_ATTACK_5,ターゲットをロック
TEXT_SFX_SSR_ATTACK_6,撃て!
TEXT_SFX_SSR_BARRAGE_1,集中砲火開始
TEXT_SFX_SSR_BARRAGE_2,ターゲット設定中
TEXT_SFX_SSR_DEFEND_1,フルディフェンス・モード稼動
TEXT_SFX_SSR_DEFEND_2,すべてのパワーをシールドに切り換えろ!
TEXT_SFX_SSR_HP_BAY_1,発射ベイを集中砲撃せよ。
TEXT_SFX_SSR_HP_BAY_2,発射ベイを破壊せよ!
TEXT_SFX_SSR_HP_ENGINES_1,エンジンを直撃しろ。
TEXT_SFX_SSR_HP_ENGINES_2,まずはエンジンを狙え。
TEXT_SFX_SSR_HP_GRAV_1,重力井戸発生装置を破壊するのだ!
TEXT_SFX_SSR_HP_ION_1,イオン・キャノンを不能にせよ。
TEXT_SFX_SSR_HP_ION_2,イオン・キャノンを直撃せよ。
TEXT_SFX_SSR_HP_LASER_1,レーザー・キャノンを銃撃せよ!
TEXT_SFX_SSR_HP_LASER_2,まずはレーザー・キャノンを狙え。
TEXT_SFX_SSR_HP_MISSILE_1,ミサイル・ランチャーを破壊せよ。
TEXT_SFX_SSR_HP_MISSILE_2,ミサイル・ランチャーを砲撃せよ!
TEXT_SFX_SSR_HP_SHIELDS_1,シールド・ジェネレーターを砲撃せよ!
TEXT_SFX_SSR_HP_SHIELDS_2,シールド・ジェネレーターを破壊せよ。
TEXT_SFX_SSR_HP_TORP_1,魚雷発射管を破壊せよ。
TEXT_SFX_SSR_HP_TORP_2,魚雷発射管に集中砲撃!
TEXT_SFX_SSR_LOST_BAY_1,発射ベイが破壊された!
TEXT_SFX_SSR_LOST_BAY_2,発射ベイがやられた!
TEXT_SFX_SSR_LOST_ION_1,イオン・キャノンは使用できない
TEXT_SFX_SSR_LOST_ION_2,イオン・キャノンを失いました
TEXT_SFX_SSR_LOST_LASER_1,レーザー砲塔がやられた
TEXT_SFX_SSR_LOST_LASER_2,レーザーがオフラインだ
TEXT_SFX_SSR_LOST_MISSILE_1,ミサイル発射装置がやられた
TEXT_SFX_SSR_LOST_MISSILE_2,ミサイル発射装置が破壊された
TEXT_SFX_SSR_LOST_SHIELDS_1,シールド・ジェネレーターがやられた
TEXT_SFX_SSR_LOST_SHIELDS_2,シールド・ジェネレーターをやられた!
TEXT_SFX_SSR_LOST_TORPEDO_1,魚雷発射管が破壊されました
TEXT_SFX_SSR_LOST_TORPEDO_2,魚雷発射管がオフラインだ
TEXT_SFX_SSR_SELECT_1,戦闘準備完了
TEXT_SFX_SSR_SELECT_2,ステーション、 準備完了
TEXT_SFX_SSR_SELECT_3,軌道コマンド可能です
TEXT_SFX_SSR_SELECT_4,了解
TEXT_SFX_SSR_SELECT_5,伝言を受信中
TEXT_SFX_SSR_SELECT_6,通信解析中
TEXT_SFX_SST_ATTACK_1,集中砲火開始
TEXT_SFX_SST_MOVE_1,主要ターゲットを確保
TEXT_SFX_SST_MOVE_2,自動照準設定
TEXT_SFX_SST_MOVE_3,砲撃開始!
TEXT_SFX_SST_SELECT_1,戦闘準備完了
TEXT_SFX_SST_SELECT_2,ステーション、 準備完了
TEXT_SFX_SST_SELECT_3,軌道コマンド可能です
TEXT_SFX_START_BUILDING_GROUND,作成中
TEXT_SFX_START_BUILDING_HERO,補充中
TEXT_SFX_START_BUILDING_SHIP,建設中
TEXT_SFX_STD_ASTEROIDS_1,この小惑星群の中では、 シールドは無意味だ。
TEXT_SFX_STD_ATTACK_1,どうぞ
TEXT_SFX_STD_ATTACK_10,ターゲットを攻撃せよ
TEXT_SFX_STD_ATTACK_11,ターゲットを攻撃
TEXT_SFX_STD_ATTACK_12,各自砲撃せよ
TEXT_SFX_STD_ATTACK_13,攻撃中
TEXT_SFX_STD_ATTACK_14,ターゲット設定中
TEXT_SFX_STD_ATTACK_15,砲撃
TEXT_SFX_STD_ATTACK_2,攻撃態勢!
TEXT_SFX_STD_ATTACK_3,強行攻撃
TEXT_SFX_STD_ATTACK_4,攻撃を開始
TEXT_SFX_STD_ATTACK_5,我々は攻撃態勢にある
TEXT_SFX_STD_ATTACK_6,ターゲットを視界に確認
TEXT_SFX_STD_ATTACK_7,攻撃せよ!
TEXT_SFX_STD_ATTACK_8,撃て!
TEXT_SFX_STD_ATTACK_9,砲撃開始!
TEXT_SFX_STD_BARRAGE_1,集中砲火で最大の効果をあげる
TEXT_SFX_STD_BARRAGE_2,フルパワーでターゲットを砲撃
TEXT_SFX_STD_DEFEND_1,すべてのパワーをシールドに転換
TEXT_SFX_STD_DEFEND_2,シールドに全パワーを
TEXT_SFX_STD_GUARD_1,ターゲットを護衛
TEXT_SFX_STD_GUARD_2,ターゲットを防御中
TEXT_SFX_STD_HP_BAY_1,発射ベイを破壊しろ
TEXT_SFX_STD_HP_BAY_2,発射ベイを破壊しろ
TEXT_SFX_STD_HP_ENGINES_1,エンジンが我々の主要ターゲットだ
TEXT_SFX_STD_HP_ENGINES_2,エンジンを破壊しろ!
TEXT_SFX_STD_HP_GRAV_1,重力井戸発生装置を不能にしろ
TEXT_SFX_STD_HP_ION_1,イオン・キャノンが我々の主要ターゲットだ
TEXT_SFX_STD_HP_ION_2,イオン・キャノンを集中砲撃せよ
TEXT_SFX_STD_HP_LASER_1,奴らのレーザー・キャノンを直接攻撃せよ
TEXT_SFX_STD_HP_LASER_2,レーザーを狙え
TEXT_SFX_STD_HP_MISSILE_1,ミサイル発射装置が主要ターゲットだ
TEXT_SFX_STD_HP_MISSILE_2,ミサイル発射装置を不能にしろ
TEXT_SFX_STD_HP_SHIELDS_1,シールド・ジェネレーターに集中砲撃
TEXT_SFX_STD_HP_SHIELDS_2,シールド・ジェネレーターを撃て!
TEXT_SFX_STD_HP_TORP_1,魚雷発射管を直接砲撃せよ
TEXT_SFX_STD_HP_TORP_2,魚雷発射管を狙う。
TEXT_SFX_STD_LOST_BAY_1,発射ベイが破壊された!
TEXT_SFX_STD_LOST_BAY_2,発射ベイがやられた
TEXT_SFX_STD_LOST_ENGINES_1,主要エンジンシステムが停止!
TEXT_SFX_STD_LOST_ENGINES_2,エンジンがやられました!
TEXT_SFX_STD_LOST_ION_1,イオン・キャノンがやられた
TEXT_SFX_STD_LOST_ION_2,イオン・キャノンが作動できない
TEXT_SFX_STD_LOST_LASER_1,ターボレーザーがやられた
TEXT_SFX_STD_LOST_LASER_2,ターボレーザー砲塔が破壊された
TEXT_SFX_STD_LOST_SHIELDS_1,シールドが停止!
TEXT_SFX_STD_LOST_SHIELDS_2,シールドがもたない!
TEXT_SFX_STD_MONICAL_1,モン・カラマリの船を集中砲撃!
TEXT_SFX_STD_MOVE_1,座標へナビゲート
TEXT_SFX_STD_MOVE_10,進行
TEXT_SFX_STD_MOVE_11,向かっている
TEXT_SFX_STD_MOVE_12,分散せよ
TEXT_SFX_STD_MOVE_13,進行するぞ
TEXT_SFX_STD_MOVE_14,さぁ行こう
TEXT_SFX_STD_MOVE_15,そのまま進め
TEXT_SFX_STD_MOVE_16,こっちだ
TEXT_SFX_STD_MOVE_17,そこだ
TEXT_SFX_STD_MOVE_2,全速力
TEXT_SFX_STD_MOVE_3,始まるぞ
TEXT_SFX_STD_MOVE_4,目的地確認
TEXT_SFX_STD_MOVE_5,今向かっている
TEXT_SFX_STD_MOVE_6,全速力で前進
TEXT_SFX_STD_MOVE_7,配置につく
TEXT_SFX_STD_MOVE_8,ただちに向かう
TEXT_SFX_STD_MOVE_9,ただちに
TEXT_SFX_STD_MOVEOPPOSITEDIR_1,回避しろ!
TEXT_SFX_STD_MOVEOPPOSITEDIR_2,集中しろ!
TEXT_SFX_STD_MOVEOPPOSITEDIR_3,回避せよ!
TEXT_SFX_STD_MOVEOPPOSITEDIR_4,急げ!
TEXT_SFX_STD_NEBULA_1,センサーが星雲の影響を受けています。
TEXT_SFX_STD_RETREAT_1,ハイパースペースへ飛ぶ用意
TEXT_SFX_STD_RETREAT_2,光速飛行の準備中
TEXT_SFX_STD_SELECT_1,クルーザー、 報告します
TEXT_SFX_STD_SELECT_10,了解
TEXT_SFX_STD_SELECT_11,隊形を整えよ
TEXT_SFX_STD_SELECT_12,命令を待ちます
TEXT_SFX_STD_SELECT_13,了解
TEXT_SFX_STD_SELECT_14,了解
TEXT_SFX_STD_SELECT_15,報告します
TEXT_SFX_STD_SELECT_16,指示を待ちます
TEXT_SFX_STD_SELECT_17,はい、 司令官
TEXT_SFX_STD_SELECT_18,準備完了
TEXT_SFX_STD_SELECT_2,ガンシップ、 報告します
TEXT_SFX_STD_SELECT_3,砲塔はオンライン
TEXT_SFX_STD_SELECT_4,兵器、 準備完了
TEXT_SFX_STD_SELECT_5,はい
TEXT_SFX_STD_SELECT_6,了解
TEXT_SFX_STD_SELECT_7,戦闘準備!
TEXT_SFX_STD_SELECT_8,報告します
TEXT_SFX_STD_SELECT_9,任務準備完了
TEXT_SFX_STD_STOP_1,終わりだ!
TEXT_SFX_STD_STOP_2,ここで待機
TEXT_SFX_STD_TRACTOR_OFF_1,牽引ビーム解除
TEXT_SFX_STD_TRACTOR_OFF_2,牽引ビーム解除
TEXT_SFX_STD_TRACTOR_OFF_3,牽引ビーム停止
TEXT_SFX_STD_TRACTOR_ON_1,牽引ビーム稼動
TEXT_SFX_STD_TRACTOR_ON_2,牽引ビーム稼動
TEXT_SFX_STD_TRACTOR_ON_3,牽引ビーム作動中
TEXT_SFX_STR_ASSIST_1,我々がリードする
TEXT_SFX_STR_ASSIST_2,先陣攻撃
TEXT_SFX_STR_ASSIST_3,ついて来い
TEXT_SFX_STR_ATTACK_1,反乱軍を感知
TEXT_SFX_STR_ATTACK_10,ターゲットを攻撃せよ
TEXT_SFX_STR_ATTACK_11,ターゲットを攻撃
TEXT_SFX_STR_ATTACK_12,各自砲撃せよ
TEXT_SFX_STR_ATTACK_13,攻撃中
TEXT_SFX_STR_ATTACK_14,ターゲット設定中
TEXT_SFX_STR_ATTACK_15,砲撃
TEXT_SFX_STR_ATTACK_2,反乱軍を発見。
TEXT_SFX_STR_ATTACK_3,兵器準備完了
TEXT_SFX_STR_ATTACK_4,反乱軍を狙う
TEXT_SFX_STR_ATTACK_5,反乱軍と交戦中
TEXT_SFX_STR_ATTACK_6,敵を視界に確認
TEXT_SFX_STR_ATTACK_7,攻撃せよ!
TEXT_SFX_STR_ATTACK_8,撃て!
TEXT_SFX_STR_ATTACK_9,砲撃開始!
TEXT_SFX_STR_GUARD_1,防御態勢
TEXT_SFX_STR_GUARD_2,この態勢を維持する
TEXT_SFX_STR_MOVE_1,スピードアップだ
TEXT_SFX_STR_MOVE_10,部隊を分散せよ
TEXT_SFX_STR_MOVE_11,進行するぞ
TEXT_SFX_STR_MOVE_12,さぁ行こう
TEXT_SFX_STR_MOVE_13,そのまま進め
TEXT_SFX_STR_MOVE_14,こっちだ
TEXT_SFX_STR_MOVE_15,そこだ
TEXT_SFX_STR_MOVE_2,もうすぐだ
TEXT_SFX_STR_MOVE_3,エリアをスキャン中
TEXT_SFX_STR_MOVE_4,敵を警戒中
TEXT_SFX_STR_MOVE_5,エリアを偵察中
TEXT_SFX_STR_MOVE_6,向かっています
TEXT_SFX_STR_MOVE_7,すぐに
TEXT_SFX_STR_MOVE_8,進行
TEXT_SFX_STR_MOVE_9,向かっている
TEXT_SFX_STR_SELECT_1,偵察機は準備完了
TEXT_SFX_STR_SELECT_10,了解
TEXT_SFX_STR_SELECT_11,了解
TEXT_SFX_STR_SELECT_12,報告します
TEXT_SFX_STR_SELECT_13,はい
TEXT_SFX_STR_SELECT_14,はい、 司令官
TEXT_SFX_STR_SELECT_15,準備完了
TEXT_SFX_STR_SELECT_2,移動準備完了
TEXT_SFX_STR_SELECT_3,目的地についての指示を待つ
TEXT_SFX_STR_SELECT_4,スカウト・トルーパー稼働
TEXT_SFX_STR_SELECT_5,かしこまりました
TEXT_SFX_STR_SELECT_6,スカウト・トルーパー、 報告します
TEXT_SFX_STR_SELECT_7,了解
TEXT_SFX_STR_SELECT_8,隊形を整えよ
TEXT_SFX_STR_SELECT_9,命令を待ちます
TEXT_SFX_SV1_CHATTER_1,0 6 地点に戦闘機
TEXT_SFX_SV1_CHATTER_2,接近中!
TEXT_SFX_SV1_CHATTER_3,目を離すな
TEXT_SFX_SV1_CHATTER_4,忌々しいネルフ・ハーダーどもめ!
TEXT_SFX_SV1_CHATTER_5,奴らを捉えた!
TEXT_SFX_SV1_CHATTER_6,敵の火力を引き受ける。
TEXT_SFX_SV1_CHATTER_7,制御を失っている!
TEXT_SFX_SV1_CHATTER_8,隊列を維持せよ!
TEXT_SFX_SV1_CHATTER_9,奴らが周囲を旋回している
TEXT_SFX_SV2_CHATTER_1,攻撃パターンを切り替えろ
TEXT_SFX_SV2_CHATTER_2,今だ、 仕留めた!
TEXT_SFX_SV2_CHATTER_3,接近中
TEXT_SFX_SV2_CHATTER_4,強い抵抗を受けている
TEXT_SFX_SV2_CHATTER_5,スラスター最大出力
TEXT_SFX_SV2_CHATTER_6,準備完了
TEXT_SFX_SV2_CHATTER_7,攻撃を開始する
TEXT_SFX_SV2_CHATTER_8,照準に入れた
TEXT_SFX_SV2_CHATTER_9,位置固定
TEXT_SFX_SV3_CHATTER_1,スキャナー起動
TEXT_SFX_SV3_CHATTER_2,前進する
TEXT_SFX_SV3_CHATTER_3,交叉火網に注意!
TEXT_SFX_SV3_CHATTER_4,付いていく。
TEXT_SFX_SV3_CHATTER_5,照準コンピュータに切り替え
TEXT_SFX_SV3_CHATTER_6,背後から撃たれている
TEXT_SFX_SV3_CHATTER_7,機動ができない
TEXT_SFX_SV3_CHATTER_8,再度旋回する
TEXT_SFX_SV3_CHATTER_9,前方に敵機
TEXT_SFX_SV4_CHATTER_1,ナビコンピュータに設定
TEXT_SFX_SV4_CHATTER_2,攻撃開始
TEXT_SFX_SV4_CHATTER_3,ターゲットをロック!
TEXT_SFX_SV4_CHATTER_4,あと少しだ・・・ 
TEXT_SFX_SV4_CHATTER_5,突入せよ!
TEXT_SFX_SV4_CHATTER_6,接近準備
TEXT_SFX_SV4_CHATTER_7,敵を無力化した
TEXT_SFX_SV4_CHATTER_8,ロックオンした
TEXT_SFX_SV4_CHATTER_9,位置へ移動
TEXT_SFX_SV5_CHATTER_1,加速中
TEXT_SFX_SV5_CHATTER_2,武器を交互に
TEXT_SFX_SV5_CHATTER_3,隊列を整える
TEXT_SFX_SV5_CHATTER_4,スラスター起動
TEXT_SFX_SV5_CHATTER_5,開始する
TEXT_SFX_SV5_CHATTER_6,動力をスラスターに戻せ
TEXT_SFX_SV5_CHATTER_7,旋回中
TEXT_SFX_SV5_CHATTER_8,こちらの側面は無防備だ
TEXT_SFX_SV5_CHATTER_9,接触した
TEXT_SFX_SV6_CHATTER_1,攻撃隊列!
TEXT_SFX_SV6_CHATTER_2,飛行に注意しろ!
TEXT_SFX_SV6_CHATTER_3,針路変更
TEXT_SFX_SV6_CHATTER_4,助けてくれ!
TEXT_SFX_SV6_CHATTER_5,こっちは私がやる!
TEXT_SFX_SV6_CHATTER_6,どけ!
TEXT_SFX_SV6_CHATTER_7,被弾した!
TEXT_SFX_SV6_CHATTER_8,敵の火力を引き受ける
TEXT_SFX_SV6_CHATTER_9,追跡を維持せよ!
TEXT_SFX_SVP_ASTEROIDS_1,隕石だ! シールドに切り替え
TEXT_SFX_SVP_ATTACK_1,敵が接近中
TEXT_SFX_SVP_ATTACK_10,あのターゲットを攻撃せよ
TEXT_SFX_SVP_ATTACK_11,ターゲット攻撃中
TEXT_SFX_SVP_ATTACK_12,自由射撃
TEXT_SFX_SVP_ATTACK_13,攻撃中
TEXT_SFX_SVP_ATTACK_14,照準中
TEXT_SFX_SVP_ATTACK_15,射撃中
TEXT_SFX_SVP_ATTACK_2,敵を捕捉
TEXT_SFX_SVP_ATTACK_3,レーザーをロック、 準備完了
TEXT_SFX_SVP_ATTACK_4,自由射撃!
TEXT_SFX_SVP_ATTACK_5,ターゲットを攻撃せよ!
TEXT_SFX_SVP_ATTACK_6,接近を開始する
TEXT_SFX_SVP_ATTACK_7,攻撃!
TEXT_SFX_SVP_ATTACK_8,射撃!
TEXT_SFX_SVP_ATTACK_9,全開射撃!
TEXT_SFX_SVP_BUZZ_DROIDS_1,バズ・ドロイドを放て!
TEXT_SFX_SVP_BUZZ_DROIDS_2,バズ・ドロイドを展開せよ!
TEXT_SFX_SVP_DEATH_1,敵が張り付いている!
TEXT_SFX_SVP_DEATH_2,離れろ!
TEXT_SFX_SVP_DEATH_3,ここを助けてくれ!
TEXT_SFX_SVP_DEATH_4,被弾している!
TEXT_SFX_SVP_DEATH_5,追尾されている!
TEXT_SFX_SVP_DEATH_6,視認できない
TEXT_SFX_SVP_DEATH_7,ダメだ!
TEXT_SFX_SVP_DEATH_8,離脱する!
TEXT_SFX_SVP_DEATH_9,( 断末魔の叫び )
TEXT_SFX_SVP_GUARD_1,ターゲットを護衛
TEXT_SFX_SVP_GUARD_2,護送中
TEXT_SFX_SVP_HP_BAY_1,発射ベイを叩け!
TEXT_SFX_SVP_HP_BAY_2,奴らの発射ベイを無力化しろ
TEXT_SFX_SVP_HP_ENGINES_1,エンジンが最優先目標だ
TEXT_SFX_SVP_HP_ENGINES_2,奴らのエンジンを破壊しろ!
TEXT_SFX_SVP_HP_GRAV_1,あの重力井戸ジェネレーターを無力化しろ
TEXT_SFX_SVP_HP_ION_1,イオンキャノンを破壊中
TEXT_SFX_SVP_HP_ION_2,全火力をあのイオンキャノンに集中せよ
TEXT_SFX_SVP_HP_LASER_1,奴らのレーザーに接近しろ
TEXT_SFX_SVP_HP_LASER_2,レーザーを狙え!
TEXT_SFX_SVP_HP_MISSILE_1,奴らのミサイルはすぐに停止する
TEXT_SFX_SVP_HP_MISSILE_2,ミサイル発射機を狙う
TEXT_SFX_SVP_HP_SHIELDS_1,シールドジェネレーターを破壊中
TEXT_SFX_SVP_HP_SHIELDS_2,シールドジェネレーターを攻撃せよ!
TEXT_SFX_SVP_HP_TORP_1,トーペド発射機を照準中。
TEXT_SFX_SVP_HP_TORP_2,最優先目標はトーペド発射機だ
TEXT_SFX_SVP_MOVE_1,貴様の位置へ進軍中。
TEXT_SFX_SVP_MOVE_10,現在、 そのベクトルへ移行中。
TEXT_SFX_SVP_MOVE_11,現在、 その座標へジャンプ中。
TEXT_SFX_SVP_MOVE_12,全速前進。
TEXT_SFX_SVP_MOVE_13,進み続けろ
TEXT_SFX_SVP_MOVE_14,こちらだ
TEXT_SFX_SVP_MOVE_15,あそこだ
TEXT_SFX_SVP_MOVE_2,その座標への針路を設定中。
TEXT_SFX_SVP_MOVE_3,出撃する。
TEXT_SFX_SVP_MOVE_4,了解した
